class,sms
ham,"Your OTP is 871208. If you did not request this, call 111825888. zKC/dXprTdv"
ham,"Your OTP is 935199 for Login to Digital Banking from unregistered device, which has also been shared on your registered email address. For your financial security, please do not share your OTP with anyone else."
ham,"Your OTP is 944382 for Debit Card Modification, which has also been shared on your registered email address. For your financial security, please do not share your OTP with anyone else."
ham,"Your OTP is 955992. If you did not request this, call 111825888. zKC/dXprTdv"
ham,"Your OTP is 976730 for Login to Digital Banking from unregistered device, which has also been shared on your registered email address. For your financial security, please do not share your OTP with anyone else."
ham,Your OTP PIN is 8895
ham,"Your password for UBL Digital has been updated. If this wasn't you, call 111825888."
ham,Your password is updated successfully.
ham,Your Password reset OTP is 6557
ham,"Your Priceoye.pk Order is placed. Order ID:935237 Nokia 106 2023,  Red Price: Rs 4,699 We will contact you shortly."
ham,Your PSID is 100328097650. Please contact our call center at (021) 111-374-634 for queries
ham,Your request against tracking id 514361363893 is successfully processed and is ready for export to printing facility. Expected delivery of card in 23 working days
ham,Your requested payee IMAN YASIN has been successfully added in UBL Netbanking for Funds Transfer
ham,Your shipment from ANZAY JEWELLERY is on route under CN: LE783798835 and will be delivered within six hours. Thanks Leopards For inquiry call 111-300-786
ham,Your shipment from ARDACIAN HOTELS AND  is on route under CN: ID588994169 and will be delivered shortly. Leopards For inquiry call 111-300-786
ham,"Your shipment from JUBILEE LIFE INSURAN is on route under CN: KI978893173 and will be delivered shortly. Total Amount Due: Rs.3250 Leopards Courier 111-300-786 To block promotions from Leopards send UNSUB to  To block all promotions, send REG to 3627"
ham,Your shipment from MR SHAHZAD ALAM is on route under CN: ID587415579 and will be delivered within six hours. Thanks Leopards For inquiry call 111-300-786
ham,"Your shipment under CN 591193740 was delivered. Receiver : FURKAN Date: 02/18/2023 Leopards Courier UAN: 111-300-786https://bit.ly/3nE3ckS To block promotions from Leopards send UNSUB to 6663625 To block all promotions, send REG to 3627"
ham,"Your transfer to MUspamMAD AYUB via Raast did not go through. Please try again. For info, call 111825888."
ham,Your Uber code is 5028. Never share this code with anyone.
ham,"Your UBL a/c 0002****7758 has been debited with Rs. 7 in fee for IBFT amounting Rs. 7,000.00 on 31-OCT-2023 at 02:29 to SYED SspamS UL ARFEEN, TELENOR MICROFINANCE LIMITED. Bal PKR        7,185.97. For info call 111825888"
ham,Your verification code for Carrefour is 6692
ham,Your Bank Alfalah card (30476) used for PKR 999.00 on 01/03/2025 at 19:43 at FOOD PANDA  KARACHI PK. Avl Limit: 237.27 Bal: Reply with CC 021111225111 Earned Orbits: 4
ham,Your Bank Alfalah Card is booked via TCS CN : 810228345785  will be delivered at your mailing address within 5-7 working days
ham,Your Bank Alfalah Credit Card statement has been dispatched via TCS consignment # 816831519931. For further details please call 111225111
ham,Your card against tracking id 514361363893 has been received at NRC and is located in pigeon hole JUN at location 2421. Please collect your card from the NRC where you have applied.
ham,Your Challan for Tax Payment against Vehicle No ACV-855 with amount of 1275 has been successfully paid. For Paid Challan Receipt click below link   http://taxportal.excise.gos.pk/upload/receipts/2022/11/04/ACV-855_097650.pdf
ham,"Your CONNECT password has been changed. If you did not change it, please contact us at https://support.telenordigital.com - CONNECT by Telenor Digital"
ham,"Your device verification code is 951552. If you did not request this code, call 111825888. zKC/dXprTdv"
ham,Your easypaisa mobile account registration/login OTP is 9652 OTP aur PIN ko mahfooz rakhein aur kissi ko na batayein  <frq8nwMNn2c>
ham,Your Foodpanda verification code is: 4880
ham,Your Free resources will Expire tomorrow. Dial *888# call any 1 Telenor number daily Free for next 7 Days.
ham,"Your login attempt on easypaisa account has failed due to incorrect pin. Please try again. For further assistance, call 3737 or 021/051/042-111003737"
ham,Your Monthly FB/WA Offer has expired. Dial *345*18# and receive 15 GB FB/WA/PUBG for 30 days in just Rs.173 [Inc. Tax]
ham,Your monthly social pack will expire soon. Dial *345*18# and receive 15 GB FB/WA/PUBG for 30 days in just Rs.173 [Inc. Tax]
ham,Your Monthly WhatsApp Offer *247# has expired. Dial *247# and receive 1.0GB WhatsApp for 30 days.
ham,Your offer *888# has expired. Dial *324*20# to get UNLIMITED Telenor calls and 250MB Facebook for two hours @ Rs.7 including tax
ham,Your Offer with 300 Onnet Mins 90 Other Network Mins 0 MBs 20 SMS with 30day validity has been subscribed for Rs. 261.42 Status:*303*30#
ham,Your One-Time-Password (OTP) is 928093 for PKR 585.00 using Bank Alfalah Card 4025*******0476 at CINEPAX LIMITED.Valid for next 3 minutes.
ham,Your OpenAI API verification code is: 892508
ham,Your OTP (Sign-up Code) for UBL Digital App Sign-up is 792279. Do not share your OTP with anyone. Please contact UBL at 111825888 if you have not requested for an OTP. zKC/dXprTdv
ham,AliExpress Verification code: 570653. Valid for 15 minutes.
ham,Account: 115557 is your Samsung account verification code. bP2ROrn3fZQ
ham,Account: 207270 is your Samsung account verification code. bP2ROrn3fZQ
ham,Account: 461734 is your Samsung account verification code. bP2ROrn3fZQ
ham,Careem PIN: 3671. Never share this PIN with anyone. Careem will never call you to ask for this. O4vqIudmVBv
ham,Careem PIN: 8054. Never share this PIN with anyone. Careem will never call you to ask for this. O4vqIudmVBv
ham,"Dear Customer, please use the code 6444 to verify your olx account. Never share your OTP with anyone. K72jbl9sZ4V"
ham,"Dear user, your OTP for ePay LOGIN is :  2411 Do not share it or use it elsewhere! bXyj0FLMCMJ"
ham,"Dear user, your OTP for ePay LOGIN is :  6138 Do not share it or use it elsewhere! bXyj0FLMCMJ"
ham,"Dear user, your OTP for ePay LOGIN is :  6871 Do not share it or use it elsewhere! bXyj0FLMCMJ"
ham,"Dear user, your OTP for ePay LOGIN is :  7394 Do not share it or use it elsewhere! bXyj0FLMCMJ"
ham,"Dear user, your OTP for ePay LOGIN is :  7408 Do not share it or use it elsewhere! bXyj0FLMCMJ"
ham,Sony LIV OTP is 1056. Use this to verify your mobile. - SonyLIV PGocbsuCPY4
ham,Sony LIV OTP is 1056. Use this to verify your mobile. - SonyLIV PGocbsuCPY4
ham,This is an automated SMS from CreditBook. Your verification PIN is 945764. Thank you! +cHXxTuu7bz    Powered by CreditBook.pk
ham,Uber code is 5542. Never share this code with anyone.  qlRnn4A1sbt
ham,Use code: 6792 to access Noon Academy. 4ufIpIK2TqK
ham,Use the code 7645 to verify your identity. Never share this code with anyone. K72jbl9sZ4V
ham,Your code is 0186 for the data savvy Postpaid Plans. tn751ivp5/+
ham,Your code is 0278 for the data savvy Postpaid Plans. tn751ivp5/+
ham,Your code is 1314 to download your Call/SMS/Internet records on MyTelenor App. Please call 345 if you have not requested this PIN. tn751ivp5/+
ham,Your code is 8173 for the data savvy Postpaid Plans. tn751ivp5/+
ham,Your code is 8382 to download your Call/SMS/Internet records on MyTelenor App. Please call 345 if you have not requested this PIN. tn751ivp5/+
ham,Your OTP for verification of Tamasha is: 3663 apVFFul4fHw
ham,Your OTP for verification of Tamasha is: 6696 apVFFul4fHw
ham,Your Pin is 1359 Use this PIN to download Tax-Certificate from your account. Never share your PIN with anyone. ac95UegMlsc
ham,Your PIN is 2405. Never share it with anyone. ac95UegMlsc
ham,Your Pin is 2605 Use this PIN to download Tax-Certificate from your account. Never share your PIN with anyone. ac95UegMlsc
ham,Your PIN is 3374 Use this PIN to pay bill from your Jazzcash account. Never share your PIN with anyone. ac95UegMlsc
ham,Your PIN is 3423 Use this to view history in SIMOSA. Never share your PIN with anyone. ac95UegMlsc
ham,Your PIN is 5984 Use this to log into the Hungama Music service. Never share your PIN with anyone.
ham,Your Pin is 6065 Use this PIN to download Tax-Certificate from your account. Never share your PIN with anyone. ac95UegMlsc
ham,Your PIN is 6300. Never share it with anyone. ac95UegMlsc
